Date,Description,Day
01.01.2018,Neujahr,Monatg
06.01.2018,Heilige Drei Koenige,Samstag
30.03.2018,Karfreitag,Freitag
02.04.2018,Ostermontag,Montag
01.05.2018,Tag der Arbeit,Dienstag
10.05.2018,Christi Himmelfahrt,Donnerstag
21.05.2018,Pfingstmontag,Montag
31.05.2018,Fronleichnam,Donnerstag
03.10.2018,Tag der Deutschen Einheit,Mittwoch
01.11.2018,Allerheiligen,Mittwoch
25.12.2018,1. Weihnachtstag,Dienstag
26.12.2018,2. Weihnachtstag,Mittwoch
01.01.2019,Neujahr,Dienstag
06.01.2019,Heilige Drei Koenige,Sonntag
19.04.2019,Karfreitag,Freitag
22.04.2019,Ostermontag,Montag
01.05.2019,Maifeiertag,Mittwoch
30.05.2019,Christi Himmelfahrt,Donnerstag
10.06.2019,Pfingstmontag,Montag
20.06.2019,Fronleichnam,Donnerstag
03.10.2019,Tag der Deutschen Einheit,Donnerstag
01.11.2019,Allerheiligen,Freitag
25.12.2019,1. Weihnachtstag,Mittwoch
26.12.2019,2. Weihnachtstag,Donnerstag
01.01.2020,Neujahr,Mittwoch
06.01.2020,Heilige drei Koenige,Montag
14.02.2020,Valentinstag,Freitag
26.02.2020,Aschermittwoch,Mittwoch
29.03.2020,Sommerzeit Beginn,Sonntag
05.04.2020,Palmsonntag,Sonntag
10.04.2020,Karfreitag,Freitag
12.04.2020,Ostern,Sonntag
13.04.2020,Ostermontag,Montag
01.05.2020,Tag der Arbeit,Freitag
09.05.2020,Europatag,Samstag
10.05.2020,Muttertag,Sonntag
21.05.2020,Christi Himmelfahrt,Donnerstag
31.05.2020,Pfingsten,Sonntag
01.06.2020,Pfingstmontag,Montag
11.06.2020,Fronleichnam,Donnerstag
03.10.2020,Tag der Deutschen Einheit,Samstag
25.10.2020,Sommerzeit Ende,Sonntag
01.11.2020,Allerheiligen,Sonntag
15.11.2020,Volkstrauertag,Sonntag
22.11.2020,Ewigkeitssonntag,Sonntag
29.11.2020,Erster Advent,Sonntag
06.12.2020,Zweiter Advent,Sonntag
06.12.2020,St. Nikolaus,Sonntag
13.12.2020,Dritter Advent,Sonntag
20.12.2020,Vierter Advent,Sonntag
24.12.2020,Heiliger Abend,Donnerstag
25.12.2020,Weihnachten,Freitag
26.12.2020,Zweiter Weihnachtsfeiertag,Samstag
31.12.2020,Silvester,Donnerstag
01.01.2021,Neujahr,Freitag
06.01.2021,Heilige drei Koenige,Mittwoch
14.02.2021,Valentinstag,Sonntag
17.02.2021,Aschermittwoch,Mittwoch
28.03.2021,Palmsonntag,Sonntag
28.03.2021,Sommerzeit Beginn,Sonntag
02.04.2021,Karfreitag,Freitag
04.04.2021,Ostern,Sonntag
05.04.2021,Ostermontag,Montag
